0.100 , 0.000 , 0.000 , 0.000 , 0.000 , 0.000
-0.100 , 0.046 , 0.100 , 0.000 , 0.000 , 0.020
0.100 , -0.091 , 0.200 , 0.000 , 0.000 , 0.040
-0.099 , 0.137 , 0.300 , 0.000 , 0.000 , 0.060
0.099 , -0.182 , 0.400 , 0.000 , 0.000 , 0.080
-0.098 , 0.227 , 0.500 , 0.000 , 0.000 , 0.100
0.097 , -0.272 , 0.600 , 0.000 , 0.000 , 0.120
-0.096 , 0.316 , 0.700 , 0.000 , 0.000 , 0.140
0.095 , -0.359 , 0.800 , 0.000 , 0.000 , 0.160
-0.093 , 0.402 , 0.900 , 0.000 , 0.000 , 0.180
0.091 , -0.444 , 1.000 , 0.000 , 0.000 , 0.200
-0.090 , 0.486 , 1.100 , 0.000 , 0.000 , 0.220
0.088 , -0.527 , 1.200 , 0.000 , 0.000 , 0.240
-0.086 , 0.566 , 1.300 , 0.000 , 0.000 , 0.260
0.084 , -0.605 , 1.400 , 0.000 , 0.000 , 0.280
-0.081 , 0.643 , 1.500 , 0.000 , 0.000 , 0.300
0.079 , -0.679 , 1.600 , 0.000 , 0.000 , 0.320
-0.076 , 0.715 , 1.700 , 0.000 , 0.000 , 0.340
0.073 , -0.749 , 1.800 , 0.000 , 0.000 , 0.360
-0.070 , 0.782 , 1.900 , 0.000 , 0.000 , 0.380
0.067 , -0.813 , 2.000 , 0.000 , 0.000 , 0.400
-0.064 , 0.843 , 2.100 , 0.000 , 0.000 , 0.420
0.061 , -0.872 , 2.200 , 0.000 , 0.000 , 0.440
-0.058 , 0.899 , 2.300 , 0.000 , 0.000 , 0.460
0.054 , -0.925 , 2.400 , 0.000 , 0.000 , 0.480
-0.051 , 0.949 , 2.500 , 0.000 , 0.000 , 0.500
0.047 , -0.971 , 2.600 , 0.000 , 0.000 , 0.520
-0.043 , 0.992 , 2.700 , 0.000 , 0.000 , 0.540
0.040 , -1.010 , 2.800 , 0.000 , 0.000 , 0.560
-0.036 , 1.028 , 2.900 , 0.000 , 0.000 , 0.580
0.032 , -1.043 , 3.000 , 0.000 , 0.000 , 0.600
-0.028 , 1.057 , 3.100 , 0.000 , 0.000 , 0.620
0.024 , -1.069 , 3.200 , 0.000 , 0.000 , 0.640
-0.020 , 1.078 , 3.300 , 0.000 , 0.000 , 0.660
0.016 , -1.087 , 3.400 , 0.000 , 0.000 , 0.680
-0.011 , 1.093 , 3.500 , 0.000 , 0.000 , 0.700
0.007 , -1.097 , 3.600 , 0.000 , 0.000 , 0.720
-0.003 , 1.099 , 3.700 , 0.000 , 0.000 , 0.740
-0.001 , -1.100 , 3.800 , 0.000 , 0.000 , 0.760
0.005 , 1.099 , 3.900 , 0.000 , 0.000 , 0.780
-0.009 , -1.095 , 4.000 , 0.000 , 0.000 , 0.800
0.013 , 1.090 , 4.100 , 0.000 , 0.000 , 0.820
-0.018 , -1.083 , 4.200 , 0.000 , 0.000 , 0.840
0.022 , 1.074 , 4.300 , 0.000 , 0.000 , 0.860
-0.026 , -1.063 , 4.400 , 0.000 , 0.000 , 0.880
0.030 , 1.051 , 4.500 , 0.000 , 0.000 , 0.900
-0.034 , -1.036 , 4.600 , 0.000 , 0.000 , 0.920
0.037 , 1.020 , 4.700 , 0.000 , 0.000 , 0.940
-0.041 , -1.002 , 4.800 , 0.000 , 0.000 , 0.960
0.045 , 0.982 , 4.900 , 0.000 , 0.000 , 0.980
-0.049 , -0.961 , 5.000 , 0.000 , 0.000 , 1.000
